scenario,method,quantity,horizon,datasets,defined_targets,available,finite_estimates,rmse,bias,covered,coverage,coverage_lower,coverage_upper,median_width,width_available,width_missing,empty_sets,unbounded,diagnostics_passed
abrupt,spline_ancova,itt_y,3,100,100,100,100,0.19963613252789775,-0.038478375329007185,94,0.94,0.8752318455410406,0.9722138760368118,0.8133846620637981,100,0,0,0,100
abrupt,spline_ancova,itt_y,4,100,100,100,100,0.2568135753325554,0.004948118525105811,95,0.95,0.8882495307680808,0.9784563208456319,1.0598821867963393,100,0,0,0,100
abrupt,spline_ancova,itt_d,1,100,100,100,100,0.03258655403668984,-0.00029655969999554444,100,1.0,0.9630065017930143,1.0,0.19890319486189867,100,0,0,0,100
abrupt,spline_ancova,itt_d,2,100,100,100,100,0.03258655403668984,-0.00029655969999554444,100,1.0,0.9630065017930143,1.0,0.19890319486189867,100,0,0,0,100
abrupt,spline_ancova,itt_d,3,100,100,100,100,0.03258655403668984,-0.00029655969999554444,100,1.0,0.9630065017930143,1.0,0.19890319486189867,100,0,0,0,100
abrupt,spline_ancova,itt_d,4,100,100,100,100,0.03258655403668984,-0.00029655969999554444,100,1.0,0.9630065017930143,1.0,0.19890319486189867,100,0,0,0,100
abrupt,spline_ancova,wald,1,100,100,100,100,0.4150602428596891,0.02760255349438288,93,0.93,0.8625048526092651,0.9656807389327273,1.521734007198135,100,0,0,0,100
abrupt,spline_ancova,wald,2,100,100,100,100,0.37970532059830936,-0.01289484133341408,94,0.94,0.8752318455410406,0.9722138760368118,1.538387203321871,100,0,0,0,100
abrupt,spline_ancova,wald,3,100,100,100,100,0.3577151209543636,-0.07426498754687914,94,0.94,0.8752318455410406,0.9722138760368118,1.5143003434271751,100,0,0,0,100
abrupt,spline_ancova,wald,4,100,100,100,100,0.38154847465468883,0.0039389699625583495,95,0.95,0.8882495307680808,0.9784563208456319,1.497578372125845,100,0,0,0,100
abrupt,longbet_direct,itt_y,1,100,100,100,100,0.2424390803832409,0.03152076208608648,98,0.98,0.929988209271456,0.9944980324498376,0.9703402658381703,100,0,0,0,100
abrupt,longbet_direct,itt_y,2,100,100,100,100,0.29046032879467193,-0.048119936529898204,89,0.89,0.8136870349691969,0.9374580364293543,0.963088763535286,100,0,0,0,100
abrupt,longbet_direct,itt_y,3,100,100,100,100,0.21903999106950217,0.0033472579616028965,99,0.99,0.9455138038212946,0.9982325679358593,0.9662156888528495,100,0,0,0,100
abrupt,longbet_direct,itt_y,4,100,100,100,100,0.32725755276842494,-0.033171246363180626,84,0.84,0.7557973061072976,0.8990471151119521,0.9715521516494668,100,0,0,0,100
abrupt,longbet_direct,itt_d,1,100,100,100,100,0.053143313507521744,-0.011542534796240097,81,0.81,0.7222115462093562,0.8748524849023126,0.14701628978532136,100,0,0,0,99
abrupt,longbet_direct,itt_d,2,100,100,100,100,0.05280561577021669,-0.007142021690015452,81,0.81,0.7222115462093562,0.8748524849023126,0.14555444925390268,100,0,0,0,99
abrupt,longbet_direct,itt_d,3,100,100,100,100,0.0527656022174968,-0.007087438028654413,80,0.8,0.7111708344068411,0.8666330666689676,0.14623316957911062,100,0,0,0,99
abrupt,longbet_direct,itt_d,4,100,100,100,100,0.053257797008065155,-0.011591840084019788,81,0.81,0.7222115462093562,0.8748524849023126,0.14785156733917298,100,0,0,0,99
abrupt,longbet_direct,wald,1,100,100,100,100,0.4501492995677684,0.052631432587443606,98,0.98,0.929988209271456,0.9944980324498376,1.8150069983706132,100,0,0,0,100
abrupt,longbet_direct,wald,2,100,100,100,100,0.4175099387547835,-0.05360984889599259,99,0.99,0.9455138038212946,0.9982325679358593,1.9623289361301604,100,0,0,0,100
abrupt,longbet_direct,wald,3,100,100,100,100,0.3989463072239878,-0.0036930977673158604,99,0.99,0.9455138038212946,0.9982325679358593,1.7877591884308504,100,0,0,0,100
abrupt,longbet_direct,wald,4,100,100,100,100,0.4664139954184622,-0.008849074868317718,98,0.98,0.929988209271456,0.9944980324498376,1.999685171960203,100,0,0,0,100
weak,unadjusted,itt_y,1,100,100,100,100,0.723145801154508,-0.03293257353885207,96,0.96,0.9016292856411208,0.9843366960084523,2.9006342302905543,100,0,0,0,100
weak,unadjusted,itt_y,2,100,100,100,100,0.7445645185056344,-0.007249452615315884,95,0.95,0.8882495307680808,0.9784563208456319,3.125851454030145,100,0,0,0,100
weak,unadjusted,itt_y,3,100,100,100,100,0.7627948857968663,-0.022759736027618875,98,0.98,0.929988209271456,0.9944980324498376,3.397651147277925,100,0,0,0,100
weak,unadjusted,itt_y,4,100,100,100,100,0.8244817684340427,-0.016690092303920944,97,0.97,0.9154806357094724,0.9897454759759611,3.6227685962058533,100,0,0,0,100
